A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-09 20:41:03.094,9.5700,0.3600,-1.2400,2.1875,31.6875,3.6875,85.8750,179.3750,0.0000,218.7500,
2025-03-09 20:41:03.102,9.6700,0.2400,-1.1400,4.3125,33.3750,1.8750,86.1875,179.3125,0.0000,218.6875,
2025-03-09 20:41:03.113,9.5200,0.4500,-0.8000,5.1875,35.3750,-0.7500,86.5625,179.3125,0.0000,218.6250,
2025-03-09 20:41:03.123,9.4700,0.5500,-1.0900,6.6250,35.1250,-2.0000,86.8750,179.3750,0.0000,218.6250,
2025-03-09 20:41:03.133,9.5000,0.6800,-0.7400,4.3125,34.8125,-2.0000,86.8750,179.3750,0.0000,218.6250,
2025-03-09 20:41:03.143,9.6100,0.4000,-1.0100,3.1875,33.6250,-0.8125,87.5625,179.3750,0.0000,218.5625,
2025-03-09 20:41:03.161,9.6100,0.1900,-1.0800,6.8125,38.0000,-2.6250,87.8750,179.3750,0.0000,218.5000,
2025-03-09 20:41:03.164,9.5300,0.4300,-0.7000,14.1250,43.9375,-5.9375,88.3125,179.4375,0.0000,218.4375,
2025-03-09 20:41:03.172,9.4100,0.7100,-0.5900,18.9375,46.8750,-7.3125,88.3125,179.4375,0.0000,218.4375,
2025-03-09 20:41:03.181,9.4300,0.7500,0.1100,13.6875,43.9375,-5.2500,88.7500,179.5625,0.0000,218.4375,
2025-03-09 20:41:03.193,9.4800,0.4800,-0.3900,5.3125,36.1875,-1.7500,89.1250,179.6250,0.0000,218.6250,
2025-03-09 20:41:03.205,9.5600,0.4200,-0.3200,0.0000,31.0625,-1.5000,89.4375,179.6250,0.0000,218.6250,
2025-03-09 20:41:03.212,9.5600,0.5700,-0.3000,-0.4375,29.0625,-2.6875,89.6250,179.6875,0.0000,218.6250,
2025-03-09 20:41:03.223,9.5000,0.7100,-0.1300,3.9375,28.0625,-2.1875,89.6250,0.2500,0.0000,218.6250,
