A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-08 19:37:26.274,9.8800,1.4300,0.5600,2.1250,-0.1250,0.1250,-0.6917,0.0197,-0.7117,-0.1209,
2025-03-08 19:37:26.280,9.8500,1.4500,0.5600,2.5625,-0.0625,0.1875,-0.6917,0.0195,-0.7117,-0.1207,
2025-03-08 19:37:26.290,9.8300,1.5100,0.5700,2.5625,0.3750,0.1250,-0.6917,0.0195,-0.7117,-0.1207,
2025-03-08 19:37:26.302,9.8000,1.5200,0.5600,2.2500,0.6250,0.0000,-0.6917,0.0193,-0.7118,-0.1206,
2025-03-08 19:37:26.310,9.8200,1.5400,0.5300,1.5000,0.4375,0.0625,-0.6917,0.0190,-0.7119,-0.1204,
2025-03-08 19:37:26.321,9.8300,1.5000,0.5300,0.9375,0.6250,0.0000,-0.6916,0.0189,-0.7119,-0.1204,
2025-03-08 19:37:26.334,9.8500,1.4700,0.5500,0.2500,0.4375,-0.1250,-0.6916,0.0189,-0.7119,-0.1204,
2025-03-08 19:37:26.340,9.8600,1.4100,0.5500,-0.1250,0.5000,-0.1875,-0.6916,0.0189,-0.7119,-0.1204,
2025-03-08 19:37:26.355,9.8700,1.3800,0.5900,-0.1250,0.3125,0.0625,-0.6915,0.0189,-0.7120,-0.1205,
2025-03-08 19:37:26.366,9.8800,1.3700,0.5900,0.2500,0.5000,0.1875,-0.6915,0.0189,-0.7120,-0.1205,
2025-03-08 19:37:26.370,9.8700,1.3900,0.5800,0.5625,0.5625,0.4375,-0.6915,0.0189,-0.7120,-0.1205,
2025-03-08 19:37:26.382,9.8800,1.4300,0.5800,0.8750,0.6250,0.4375,-0.6915,0.0189,-0.7120,-0.1205,
2025-03-08 19:37:26.393,9.8600,1.4500,0.5900,0.8750,0.8125,0.1875,-0.6914,0.0188,-0.7121,-0.1204,
2025-03-08 19:37:26.400,9.8500,1.4600,0.6000,0.8125,0.9375,0.1250,-0.6914,0.0187,-0.7122,-0.1204,
2025-03-08 19:37:26.412,9.7900,1.4900,0.5400,0.8750,0.8125,-0.2500,-0.6913,0.0187,-0.7123,-0.1204,
2025-03-08 19:37:26.422,9.7800,1.4600,0.6000,0.6250,0.8125,-0.5000,-0.6912,0.0186,-0.7123,-0.1204,
2025-03-08 19:37:26.436,9.7600,1.4100,0.5800,0.5625,0.7500,-0.8125,-0.6911,0.0185,-0.7124,-0.1203,
2025-03-08 19:37:26.440,9.7500,1.4300,0.6000,0.4375,0.6250,-1.0625,-0.6911,0.0184,-0.7125,-0.1204,
2025-03-08 19:37:26.454,9.8000,1.3700,0.5500,0.2500,0.6250,-1.2500,-0.6910,0.0184,-0.7125,-0.1205,
2025-03-08 19:37:26.463,9.8400,1.3400,0.5500,0.1875,0.4375,-1.1875,-0.6909,0.0183,-0.7126,-0.1205,
2025-03-08 19:37:26.489,9.8700,1.3700,0.5900,0.6250,0.4375,-1.0000,-0.6909,0.0182,-0.7126,-0.1206,
2025-03-08 19:37:26.492,9.9100,1.4100,0.5600,1.1250,0.6875,-0.9375,-0.6909,0.0181,-0.7126,-0.1207,
2025-03-08 19:37:26.492,9.9100,1.4100,0.5600,1.3125,0.3750,-0.7500,-0.6908,0.0180,-0.7126,-0.1207,
2025-03-08 19:37:26.498,9.9000,1.4200,0.5500,2.0000,0.2500,-0.4375,-0.6909,0.0179,-0.7126,-0.1206,
2025-03-08 19:37:26.512,9.8400,1.4400,0.5500,1.8750,0.1250,-0.6875,-0.6909,0.0178,-0.7127,-0.1205,
2025-03-08 19:37:26.525,9.8000,1.4800,0.5900,1.5000,-0.1875,-0.5625,-0.6909,0.0176,-0.7127,-0.1204,
2025-03-08 19:37:26.532,9.7900,1.4200,0.5900,1.0000,-0.2500,-0.6250,-0.6908,0.0175,-0.7127,-0.1204,
2025-03-08 19:37:26.546,9.7700,1.4400,0.6100,0.6250,-0.1875,-0.8125,-0.6908,0.0174,-0.7127,-0.1204,
2025-03-08 19:37:26.554,9.7900,1.4300,0.6100,0.9375,0.0625,-1.0000,-0.6908,0.0173,-0.7127,-0.1204,
2025-03-08 19:37:26.562,9.7900,1.4500,0.5800,1.3750,0.0625,-1.0000,-0.6908,0.0172,-0.7128,-0.1204,
2025-03-08 19:37:26.572,9.8000,1.4900,0.6000,1.8750,-0.1875,-0.6875,-0.6908,0.0170,-0.7128,-0.1204,
2025-03-08 19:37:26.582,9.8000,1.5200,0.5900,2.1250,-0.2500,-0.5625,-0.6908,0.0168,-0.7128,-0.1203,
2025-03-08 19:37:26.592,9.8000,1.5200,0.5900,2.0000,-0.1250,-0.3750,-0.6908,0.0167,-0.7128,-0.1202,
2025-03-08 19:37:26.602,9.8000,1.5400,0.5400,1.5625,-0.1875,-0.1250,-0.6908,0.0165,-0.7128,-0.1201,
2025-03-08 19:37:26.612,9.7800,1.5600,0.5300,0.9375,0.0000,-0.0625,-0.6908,0.0164,-0.7129,-0.1201,
2025-03-08 19:37:26.622,9.8000,1.5300,0.5500,0.1875,0.1875,0.0000,-0.6907,0.0164,-0.7129,-0.1201,
2025-03-08 19:37:26.632,9.8000,1.5200,0.5600,-0.5000,0.1250,-0.1875,-0.6907,0.0164,-0.7129,-0.1201,
2025-03-08 19:37:26.642,9.8300,1.4600,0.6000,-0.8125,0.1250,-0.1875,-0.6907,0.0163,-0.7129,-0.1201,
2025-03-08 19:37:26.659,9.8100,1.4600,0.6000,-0.9375,0.1250,-0.1875,-0.6907,0.0164,-0.7129,-0.1202,
2025-03-08 19:37:26.677,9.8700,1.4100,0.6400,-0.6250,0.0000,-0.0625,-0.6906,0.0164,-0.7130,-0.1202,
2025-03-08 19:37:26.677,9.8600,1.3900,0.6400,-0.1250,-0.3125,0.1875,-0.6906,0.0164,-0.7130,-0.1203,
2025-03-08 19:37:26.682,9.8500,1.4200,0.6400,0.2500,-0.0625,0.1875,-0.6906,0.0164,-0.7130,-0.1203,
2025-03-08 19:37:26.712,9.8100,1.4500,0.6100,0.7500,-0.1250,0.4375,-0.6906,0.0164,-0.7130,-0.1203,
2025-03-08 19:37:26.712,9.7700,1.4500,0.5900,1.0625,0.1875,0.2500,-0.6906,0.0164,-0.7130,-0.1202,
2025-03-08 19:37:26.712,9.7700,1.4200,0.5500,1.2500,0.1875,0.1250,-0.6906,0.0163,-0.7130,-0.1202,
2025-03-08 19:37:26.722,9.7900,1.4300,0.5600,1.0625,0.0625,0.0625,-0.6905,0.0162,-0.7131,-0.1201,
2025-03-08 19:37:26.732,9.8400,1.4300,0.5700,0.9375,-0.3750,0.0625,-0.6905,0.0162,-0.7131,-0.1201,
2025-03-08 19:37:26.742,9.8400,1.4300,0.5700,1.0000,-0.5000,0.0000,-0.6906,0.0161,-0.7130,-0.1200,
2025-03-08 19:37:26.755,9.8400,1.4400,0.6100,1.2500,-0.3125,-0.1875,-0.6906,0.0161,-0.7131,-0.1199,
2025-03-08 19:37:26.782,9.8600,1.4300,0.5900,1.4375,-0.1250,-0.0625,-0.6906,0.0160,-0.7131,-0.1199,
2025-03-08 19:37:26.792,9.8400,1.4600,0.6400,1.5000,-0.1875,0.0000,-0.6906,0.0159,-0.7131,-0.1198,
2025-03-08 19:37:26.792,9.8400,1.4600,0.6400,1.8125,0.0625,0.0000,-0.6906,0.0158,-0.7131,-0.1197,
2025-03-08 19:37:26.792,9.8400,1.4800,0.6300,1.8125,0.0625,0.0000,-0.6907,0.0157,-0.7131,-0.1196,
2025-03-08 19:37:26.802,9.8100,1.4700,0.6200,2.0625,-0.1250,0.1250,-0.6907,0.0156,-0.7131,-0.1194,
2025-03-08 19:37:26.812,9.8100,1.4700,0.5500,2.0625,-0.1250,-0.0625,-0.6907,0.0154,-0.7131,-0.1193,
2025-03-08 19:37:26.822,9.8100,1.5100,0.5500,1.8750,-0.1875,-0.0625,-0.6907,0.0153,-0.7131,-0.1192,
2025-03-08 19:37:26.832,9.8000,1.4900,0.5500,1.5625,-0.1875,-0.2500,-0.6907,0.0152,-0.7131,-0.1191,
2025-03-08 19:37:26.842,9.8000,1.5000,0.5400,1.5625,-0.1875,-0.2500,-0.6907,0.0151,-0.7131,-0.1190,
2025-03-08 19:37:26.842,9.8500,1.4500,0.5700,1.3125,-0.2500,-0.1250,-0.6908,0.0150,-0.7131,-0.1190,
2025-03-08 19:37:26.862,9.8500,1.4600,0.5800,2.0000,0.1250,0.0625,-0.6908,0.0149,-0.7131,-0.1188,
2025-03-08 19:37:26.872,9.8700,1.5000,0.5500,2.2500,0.6250,0.1875,-0.6908,0.0148,-0.7131,-0.1187,
2025-03-08 19:37:26.882,9.8600,1.5900,0.6000,1.8125,0.6875,0.3750,-0.6908,0.0146,-0.7131,-0.1186,
2025-03-08 19:37:26.892,9.8600,1.6000,0.6000,1.8125,0.6875,0.3750,-0.6908,0.0145,-0.7132,-0.1185,
2025-03-08 19:37:26.902,9.8600,1.6000,0.5600,0.1250,0.5625,0.0625,-0.6907,0.0145,-0.7132,-0.1185,
2025-03-08 19:37:26.914,9.8500,1.5700,0.5400,-0.3750,0.6250,0.0000,-0.6907,0.0145,-0.7132,-0.1185,
2025-03-08 19:37:26.922,9.8300,1.5200,0.5200,-0.6250,0.3125,0.1875,-0.6907,0.0145,-0.7133,-0.1185,
2025-03-08 19:37:26.937,9.8300,1.4600,0.5400,-0.6250,0.1875,0.1875,-0.6907,0.0145,-0.7133,-0.1185,
2025-03-08 19:37:26.942,9.8200,1.4200,0.5200,-0.6250,0.1875,0.1875,-0.6907,0.0145,-0.7132,-0.1185,
2025-03-08 19:37:26.955,9.8200,1.4400,0.5800,-0.5000,-0.1875,0.3125,-0.6907,0.0146,-0.7132,-0.1185,
2025-03-08 19:37:26.962,9.8200,1.4300,0.5900,-0.3750,-0.2500,0.3125,-0.6907,0.0146,-0.7132,-0.1185,
2025-03-08 19:37:26.972,9.8000,1.4400,0.5900,-0.1250,-0.2500,0.2500,-0.6907,0.0146,-0.7132,-0.1185,
2025-03-08 19:37:27.002,9.7900,1.4400,0.5900,-0.0625,-0.1875,0.1250,-0.6907,0.0146,-0.7132,-0.1185,
2025-03-08 19:37:27.002,9.7800,1.4500,0.6000,-0.0625,-0.1875,0.1250,-0.6907,0.0146,-0.7132,-0.1185,
2025-03-08 19:37:27.002,9.7700,1.4500,0.5800,0.4375,-0.7500,0.2500,-0.6907,0.0146,-0.7132,-0.1185,
2025-03-08 19:37:27.019,9.7700,1.4500,0.5800,0.5000,-0.6250,0.0625,-0.6907,0.0146,-0.7132,-0.1185,
2025-03-08 19:37:27.022,9.8000,1.4100,0.5700,0.3750,-0.7500,0.1250,-0.6908,0.0146,-0.7132,-0.1185,
2025-03-08 19:37:27.032,9.8100,1.4200,0.5900,0.2500,-0.6875,0.3125,-0.6908,0.0146,-0.7131,-0.1185,
2025-03-08 19:37:27.042,9.8000,1.4300,0.5900,0.2500,-0.6875,0.3125,-0.6909,0.0146,-0.7131,-0.1185,
2025-03-08 19:37:27.055,9.7800,1.4200,0.5800,1.3125,-0.6250,0.3750,-0.6909,0.0146,-0.7130,-0.1185,
2025-03-08 19:37:27.082,9.8200,1.4200,0.5800,2.0625,-0.6875,0.4375,-0.6909,0.0145,-0.7130,-0.1184,
2025-03-08 19:37:27.098,9.8800,1.4500,0.5900,2.4375,-0.6250,0.5625,-0.6910,0.0144,-0.7130,-0.1183,
2025-03-08 19:37:27.098,9.8700,1.4600,0.5900,2.6875,-0.8125,0.6250,-0.6911,0.0142,-0.7129,-0.1182,
2025-03-08 19:37:27.098,9.8700,1.5500,0.6300,2.6875,-0.8125,0.6250,-0.6911,0.0141,-0.7129,-0.1180,
2025-03-08 19:37:27.100,9.8700,1.5900,0.6600,2.5000,-0.6250,0.7500,-0.6912,0.0140,-0.7128,-0.1178,
2025-03-08 19:37:27.122,9.8700,1.6300,0.6100,1.6875,-0.3125,0.8750,-0.6912,0.0140,-0.7129,-0.1176,
2025-03-08 19:37:27.123,9.8800,1.6100,0.5700,0.6875,0.2500,0.8125,-0.6912,0.0140,-0.7129,-0.1176,
2025-03-08 19:37:27.155,9.8200,1.5300,0.5500,-0.3750,0.8750,0.6250,-0.6912,0.0140,-0.7129,-0.1175,
2025-03-08 19:37:27.155,9.8300,1.4600,0.5200,-1.0000,1.1875,0.7500,-0.6911,0.0141,-0.7130,-0.1175,
2025-03-08 19:37:27.155,9.8300,1.4000,0.5200,-1.0625,0.8750,0.5000,-0.6910,0.0142,-0.7131,-0.1176,
2025-03-08 19:37:27.164,9.8300,1.4000,0.5600,-0.5625,0.1875,0.8125,-0.6910,0.0142,-0.7131,-0.1175,
2025-03-08 19:37:27.174,9.8400,1.4500,0.6100,0.1875,-0.3125,0.8125,-0.6910,0.0142,-0.7131,-0.1175,
2025-03-08 19:37:27.184,9.8200,1.4600,0.6200,0.7500,-0.8750,0.8750,-0.6911,0.0143,-0.7130,-0.1174,
2025-03-08 19:37:27.205,9.7700,1.5100,0.6100,0.7500,-0.6250,0.5000,-0.6912,0.0142,-0.7129,-0.1172,
2025-03-08 19:37:27.212,9.8000,1.4600,0.6200,0.0625,-0.2500,0.4375,-0.6912,0.0142,-0.7129,-0.1172,
2025-03-08 19:37:27.226,9.8000,1.4400,0.6000,-0.5000,-0.2500,0.6250,-0.6912,0.0142,-0.7129,-0.1172,
2025-03-08 19:37:27.236,9.8000,1.4100,0.5700,-0.9375,-0.0625,0.4375,-0.6912,0.0143,-0.7130,-0.1173,
2025-03-08 19:37:27.257,9.8900,1.3800,0.5400,0.1250,-0.5625,0.7500,-0.6912,0.0143,-0.7130,-0.1172,
2025-03-08 19:37:27.268,9.8800,1.4300,0.5400,0.6875,-0.6250,0.5000,-0.6912,0.0143,-0.7129,-0.1171,
2025-03-08 19:37:27.278,9.8300,1.5000,0.5300,1.0625,-0.6875,0.7500,-0.6913,0.0143,-0.7129,-0.1171,
2025-03-08 19:37:27.292,9.8200,1.4600,0.6000,0.7500,-1.4375,0.6875,-0.6915,0.0143,-0.7128,-0.1169,
2025-03-08 19:37:27.302,9.8300,1.4600,0.6400,0.3750,-1.2500,0.8750,-0.6915,0.0143,-0.7127,-0.1168,
2025-03-08 19:37:27.319,9.8500,1.3900,0.6300,-0.1250,-0.8750,0.6875,-0.6916,0.0144,-0.7126,-0.1168,
2025-03-08 19:37:27.322,9.8100,1.3700,0.6400,-0.6875,-0.0625,1.0000,-0.6916,0.0145,-0.7126,-0.1168,
2025-03-08 19:37:27.332,9.7800,1.3400,0.6200,-0.5000,0.6875,1.1250,-0.6915,0.0146,-0.7127,-0.1167,
2025-03-08 19:37:27.340,9.7700,1.3700,0.5600,0.3125,0.6250,1.2500,-0.6915,0.0146,-0.7128,-0.1166,
2025-03-08 19:37:27.352,9.7700,1.4100,0.5500,1.3750,0.0000,1.3125,-0.6915,0.0146,-0.7128,-0.1165,
2025-03-08 19:37:27.362,9.7700,1.4300,0.5100,1.9375,-0.6875,0.8750,-0.6915,0.0146,-0.7128,-0.1163,
2025-03-08 19:37:27.382,9.7900,1.4600,0.4700,2.8750,-1.1875,0.6875,-0.6916,0.0145,-0.7127,-0.1160,
2025-03-08 19:37:27.382,9.8200,1.5300,0.4800,2.8750,-2.0625,0.3125,-0.6918,0.0143,-0.7126,-0.1159,
2025-03-08 19:37:27.392,9.8300,1.5700,0.5100,2.6875,-2.7500,0.4375,-0.6920,0.0142,-0.7124,-0.1157,
2025-03-08 19:37:27.392,9.8500,1.6500,0.5200,1.6875,-3.1250,0.5625,-0.6922,0.0140,-0.7123,-0.1157,
2025-03-08 19:37:27.412,9.8900,1.6700,0.5800,0.1875,-2.4375,0.5000,-0.6923,0.0140,-0.7121,-0.1157,
2025-03-08 19:37:27.422,9.8900,1.6000,0.6000,-1.0625,-1.5000,0.6250,-0.6923,0.0140,-0.7121,-0.1158,
2025-03-08 19:37:27.432,9.9100,1.5200,0.6100,-2.0000,-0.5625,0.3750,-0.6922,0.0141,-0.7121,-0.1160,
2025-03-08 19:37:27.442,9.9200,1.4600,0.6000,-2.5000,-0.1250,0.4375,-0.6922,0.0142,-0.7122,-0.1162,
2025-03-08 19:37:27.442,9.8800,1.3200,0.5900,-2.7500,-0.1250,0.1875,-0.6921,0.0144,-0.7122,-0.1164,
2025-03-08 19:37:27.456,9.8500,1.3400,0.5900,-2.3750,0.0625,0.0625,-0.6921,0.0145,-0.7122,-0.1165,
2025-03-08 19:37:27.472,9.8000,1.3300,0.5900,-1.5000,0.1875,-0.0625,-0.6920,0.0146,-0.7123,-0.1166,
2025-03-08 19:37:27.482,9.8100,1.3500,0.5800,-0.6875,0.1875,-0.3750,-0.6920,0.0146,-0.7123,-0.1166,
2025-03-08 19:37:27.491,9.8400,1.3900,0.5300,-0.0625,-0.2500,-0.5625,-0.6920,0.0146,-0.7123,-0.1166,
2025-03-08 19:37:27.502,9.8300,1.4200,0.5100,0.5625,-1.0625,-0.3125,-0.6920,0.0147,-0.7123,-0.1166,
2025-03-08 19:37:27.512,9.8600,1.4100,0.5200,0.1875,-0.8750,-0.1250,-0.6920,0.0147,-0.7122,-0.1166,
2025-03-08 19:37:27.522,9.8200,1.4300,0.5100,-0.0625,-0.1875,0.1875,-0.6920,0.0147,-0.7122,-0.1166,
2025-03-08 19:37:27.534,9.8100,1.4400,0.5200,-0.5000,0.0625,0.2500,-0.6920,0.0147,-0.7123,-0.1166,
2025-03-08 19:37:27.542,9.8000,1.4400,0.5400,-0.5000,0.0625,0.0000,-0.6920,0.0146,-0.7123,-0.1166,
2025-03-08 19:37:27.551,9.8000,1.4400,0.5600,-0.5000,-0.1875,0.2500,-0.6920,0.0146,-0.7123,-0.1167,
2025-03-08 19:37:27.562,9.7900,1.4000,0.5800,-0.5625,-0.4375,0.0000,-0.6919,0.0146,-0.7123,-0.1167,
2025-03-08 19:37:27.572,9.8300,1.4000,0.5300,-0.5625,-0.7500,-0.1250,-0.6920,0.0146,-0.7123,-0.1167,
