A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-08 19:40:42.565,9.7600,1.7900,-0.3900,-1.2500,1.7500,-2.0000,-0.7180,-0.0274,-0.6891,-0.0943,
2025-03-08 19:40:42.573,9.7700,1.7500,-0.3800,-2.2500,1.8125,-2.2500,-0.7179,-0.0274,-0.6891,-0.0946,
2025-03-08 19:40:42.583,9.7900,1.7100,-0.3600,-3.3125,1.7500,-2.4375,-0.7178,-0.0274,-0.6893,-0.0949,
2025-03-08 19:40:42.590,9.7300,1.6800,-0.2600,-3.6875,1.3125,-2.1250,-0.7176,-0.0273,-0.6893,-0.0953,
2025-03-08 19:40:42.600,9.6600,1.6900,-0.2500,-3.0000,1.2500,-1.8750,-0.7175,-0.0273,-0.6894,-0.0956,
2025-03-08 19:40:42.612,9.6300,1.6900,-0.2300,-1.8125,1.4375,-1.5000,-0.7175,-0.0273,-0.6894,-0.0958,
2025-03-08 19:40:42.627,9.5900,1.7200,-0.2700,-0.1875,1.0625,-0.8125,-0.7174,-0.0273,-0.6895,-0.0958,
2025-03-08 19:40:42.635,9.6500,1.8000,-0.3400,1.0625,1.1875,-0.3125,-0.7173,-0.0274,-0.6896,-0.0958,
2025-03-08 19:40:42.640,9.6600,1.8600,-0.3900,1.6875,1.2500,0.3750,-0.7173,-0.0275,-0.6896,-0.0956,
2025-03-08 19:40:42.654,9.6900,1.8700,-0.4000,1.0625,1.5000,0.8750,-0.7172,-0.0275,-0.6897,-0.0955,
2025-03-08 19:40:42.662,9.7200,1.9000,-0.3400,0.1250,1.6250,1.1875,-0.7171,-0.0275,-0.6898,-0.0955,
2025-03-08 19:40:42.688,9.7300,1.9200,-0.3200,-1.3125,1.8750,1.3125,-0.7170,-0.0274,-0.6900,-0.0955,
2025-03-08 19:40:42.690,9.7200,1.8700,-0.2600,-2.1875,1.8125,1.1875,-0.7169,-0.0273,-0.6900,-0.0956,
2025-03-08 19:40:42.690,9.6900,1.8500,-0.2400,-1.9375,1.7500,1.0000,-0.7168,-0.0271,-0.6902,-0.0957,
2025-03-08 19:40:42.701,9.6900,1.8300,-0.2400,-1.3125,2.1250,1.0000,-0.7166,-0.0270,-0.6903,-0.0957,
2025-03-08 19:40:42.711,9.7400,1.8100,-0.2200,-0.0625,1.6875,1.1875,-0.7165,-0.0270,-0.6904,-0.0956,
2025-03-08 19:40:42.728,9.7500,1.8100,-0.2500,0.6875,1.5000,1.8125,-0.7164,-0.0269,-0.6906,-0.0955,
2025-03-08 19:40:42.732,9.8300,1.8000,-0.1600,0.0625,1.6875,2.8125,-0.7164,-0.0268,-0.6907,-0.0954,
2025-03-08 19:40:42.741,9.9600,1.7400,-0.0900,-1.1875,2.3125,3.6250,-0.7162,-0.0265,-0.6909,-0.0952,
2025-03-08 19:40:42.750,10.1500,1.6500,0.0000,-2.4375,3.0625,4.4375,-0.7160,-0.0261,-0.6911,-0.0951,
2025-03-08 19:40:42.763,10.3100,1.5400,0.0900,-2.3750,4.2500,4.6250,-0.7157,-0.0258,-0.6914,-0.0950,
2025-03-08 19:40:42.784,10.2300,1.3300,0.2100,0.7500,6.3750,2.5625,-0.7151,-0.0254,-0.6921,-0.0945,
2025-03-08 19:40:42.803,9.7500,1.5400,0.1700,0.9375,5.3125,-2.5625,-0.7144,-0.0258,-0.6928,-0.0945,
2025-03-08 19:40:42.815,9.3600,1.5900,0.0000,2.7500,3.6875,-3.9375,-0.7142,-0.0262,-0.6931,-0.0946,
2025-03-08 19:40:42.822,9.2400,1.6400,-0.0400,5.6250,1.4375,-3.8125,-0.7142,-0.0268,-0.6931,-0.0945,
2025-03-08 19:40:42.835,9.1400,1.6600,-0.0900,7.3125,-0.5625,-2.8750,-0.7142,-0.0274,-0.6931,-0.0942,
2025-03-08 19:40:42.842,9.0500,1.5800,-0.1500,7.0625,-2.3125,-0.7500,-0.7144,-0.0278,-0.6929,-0.0938,
2025-03-08 19:40:42.846,9.0600,1.5000,-0.2100,6.0000,-2.9375,1.6250,-0.7146,-0.0281,-0.6927,-0.0934,
2025-03-08 19:40:42.866,9.0700,1.5000,-0.2500,5.5000,-2.9375,3.8750,-0.7149,-0.0281,-0.6925,-0.0928,
2025-03-08 19:40:42.871,9.0800,1.5700,-0.3200,5.3750,-2.4375,5.5000,-0.7150,-0.0281,-0.6924,-0.0922,
2025-03-08 19:40:42.881,8.9700,1.6300,-0.2900,4.5000,-1.3125,6.0000,-0.7151,-0.0280,-0.6924,-0.0916,
2025-03-08 19:40:42.891,8.8500,1.7000,-0.2400,2.9375,-0.0625,5.8750,-0.7152,-0.0278,-0.6924,-0.0911,
2025-03-08 19:40:42.902,8.7700,1.7900,-0.2000,1.8750,0.3125,5.5000,-0.7152,-0.0276,-0.6924,-0.0906,
2025-03-08 19:40:42.911,8.8500,1.9300,-0.2500,2.4375,-0.8125,5.7500,-0.7153,-0.0275,-0.6924,-0.0901,
2025-03-08 19:40:42.927,8.9500,2.0200,-0.3000,3.0625,-3.1875,6.6250,-0.7155,-0.0272,-0.6923,-0.0896,
2025-03-08 19:40:42.933,9.0200,2.0200,-0.3200,2.6875,-5.4375,7.8125,-0.7159,-0.0269,-0.6920,-0.0890,
2025-03-08 19:40:42.939,9.1300,1.9200,-0.3600,2.8125,-5.4375,8.6250,-0.7163,-0.0264,-0.6917,-0.0883,
2025-03-08 19:40:42.952,9.3700,1.7600,-0.4100,2.7500,-4.6250,8.9375,-0.7166,-0.0260,-0.6915,-0.0876,
2025-03-08 19:40:42.961,9.5200,1.7200,-0.3900,1.4375,-4.0000,9.1250,-0.7169,-0.0255,-0.6913,-0.0870,
2025-03-08 19:40:42.982,9.6300,1.6100,-0.3800,0.0625,-3.1875,9.1875,-0.7171,-0.0250,-0.6912,-0.0865,
2025-03-08 19:40:42.990,9.8300,1.5700,-0.2800,-0.3750,-2.4375,9.0625,-0.7172,-0.0244,-0.6911,-0.0860,
2025-03-08 19:40:42.991,9.9700,1.6000,-0.2300,0.1875,-2.8125,9.2500,-0.7174,-0.0238,-0.6910,-0.0854,
2025-03-08 19:40:43.000,10.1300,1.6000,-0.2300,1.7500,-4.6875,9.7500,-0.7177,-0.0233,-0.6908,-0.0848,
2025-03-08 19:40:43.011,10.2500,1.5500,-0.2600,3.2500,-6.0000,10.3750,-0.7181,-0.0228,-0.6905,-0.0840,
