A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-06 20:20:00.267,9.7300,-0.9900,0.2800,-0.5625,-0.1875,-0.0625,-0.6778,0.1718,-0.7073,-0.1038,
2025-03-06 20:20:00.287,9.7800,-1.0100,0.2900,-0.4375,-0.0625,-0.2500,-0.6778,0.1718,-0.7073,-0.1038,
2025-03-06 20:20:00.299,9.7900,-0.9800,0.2500,0.1250,-0.1250,-0.3125,-0.6778,0.1718,-0.7073,-0.1038,
2025-03-06 20:20:00.306,9.7800,-0.9400,0.2100,0.4375,-0.1250,-0.3750,-0.6778,0.1718,-0.7073,-0.1038,
2025-03-06 20:20:00.317,9.7600,-0.9100,0.1700,0.0000,0.1250,-0.3750,-0.6778,0.1718,-0.7073,-0.1038,
2025-03-06 20:20:00.345,9.7800,-0.9500,0.2400,-0.4375,0.1250,-0.3750,-0.6778,0.1718,-0.7073,-0.1038,
2025-03-06 20:20:00.362,9.7800,-1.0200,0.2100,-0.6250,0.0625,-0.3125,-0.6778,0.1718,-0.7073,-0.1039,
2025-03-06 20:20:00.367,9.7800,-1.0000,0.2100,-0.1875,0.0000,-0.0625,-0.6778,0.1718,-0.7073,-0.1039,
2025-03-06 20:20:00.388,9.7800,-0.8800,0.1900,0.0625,0.1250,0.3125,-0.6778,0.1718,-0.7073,-0.1039,
2025-03-06 20:20:00.402,9.8000,-0.8900,0.2200,0.0625,0.3125,0.2500,-0.6778,0.1718,-0.7073,-0.1039,
2025-03-06 20:20:00.406,9.7800,-0.9200,0.2500,-0.2500,0.4375,0.2500,-0.6778,0.1718,-0.7073,-0.1039,
2025-03-06 20:20:00.419,9.7500,-0.9500,0.2400,-0.6250,0.7500,0.3125,-0.6778,0.1718,-0.7073,-0.1039,
2025-03-06 20:20:00.437,9.7700,-1.0400,0.2700,-0.3750,0.6250,0.1250,-0.6777,0.1718,-0.7074,-0.1039,
2025-03-06 20:20:00.460,9.8100,-1.0400,0.2300,0.9375,0.2500,0.3750,-0.6777,0.1718,-0.7074,-0.1039,
2025-03-06 20:20:00.474,9.8200,-0.9900,0.2400,1.1250,0.5000,0.3750,-0.6777,0.1717,-0.7074,-0.1038,
2025-03-06 20:20:00.486,9.7900,-0.9300,0.2300,0.9375,0.3750,0.3125,-0.6777,0.1716,-0.7075,-0.1037,
2025-03-06 20:20:00.540,9.7400,-0.9700,0.2900,0.6875,0.6250,0.0000,-0.6777,0.1715,-0.7075,-0.1036,
2025-03-06 20:20:00.552,9.7800,-1.0000,0.2700,0.5625,0.5625,0.1250,-0.6777,0.1715,-0.7075,-0.1036,
2025-03-06 20:20:00.552,9.7900,-1.0200,0.2400,0.9375,0.6250,0.3750,-0.6777,0.1715,-0.7075,-0.1037,
2025-03-06 20:20:00.552,9.7700,-0.9300,0.2000,1.1250,0.3750,0.3125,-0.6776,0.1714,-0.7076,-0.1036,
2025-03-06 20:20:00.552,9.7800,-0.9300,0.2100,1.0625,0.3125,0.2500,-0.6776,0.1713,-0.7076,-0.1035,
2025-03-06 20:20:00.552,9.7500,-0.9200,0.2400,1.0000,0.2500,0.1250,-0.6777,0.1713,-0.7076,-0.1035,
2025-03-06 20:20:00.565,9.7500,-0.9600,0.2900,1.0625,0.3750,0.0625,-0.6777,0.1712,-0.7076,-0.1034,
2025-03-06 20:20:00.590,9.7000,-1.0700,0.2800,1.4375,0.1250,-0.0625,-0.6777,0.1711,-0.7077,-0.1033,
2025-03-06 20:20:00.593,9.7200,-1.0600,0.2800,2.0000,-0.1250,0.0000,-0.6777,0.1710,-0.7077,-0.1032,
2025-03-06 20:20:00.603,9.7900,-1.0000,0.2400,2.5625,-0.5000,0.1250,-0.6777,0.1708,-0.7078,-0.1030,
2025-03-06 20:20:00.614,9.8300,-0.8900,0.2200,2.6875,-0.5000,0.1250,-0.6777,0.1707,-0.7078,-0.1028,
2025-03-06 20:20:00.624,9.8700,-0.8400,0.2300,2.5625,-0.3125,0.3750,-0.6778,0.1705,-0.7078,-0.1027,
2025-03-06 20:20:00.640,9.8400,-0.8000,0.2600,1.3125,0.0625,0.4375,-0.6778,0.1703,-0.7079,-0.1025,
2025-03-06 20:20:00.660,9.8100,-0.8800,0.2600,0.6250,0.3125,0.1875,-0.6778,0.1702,-0.7079,-0.1025,
2025-03-06 20:20:00.665,9.8100,-0.9400,0.2500,-0.1875,0.6250,0.5000,-0.6778,0.1702,-0.7079,-0.1025,
2025-03-06 20:20:00.685,9.7200,-1.0200,0.2200,0.6250,0.6250,0.4375,-0.6777,0.1702,-0.7080,-0.1024,
2025-03-06 20:20:00.699,9.6600,-1.0000,0.2200,1.8125,0.4375,0.6250,-0.6777,0.1701,-0.7080,-0.1023,
2025-03-06 20:20:00.699,9.6700,-1.0200,0.2400,2.5625,-0.1250,0.5000,-0.6777,0.1700,-0.7081,-0.1022,
2025-03-06 20:20:00.719,9.7200,-0.9900,0.2800,2.6250,-0.5625,0.0625,-0.6778,0.1698,-0.7081,-0.1020,
2025-03-06 20:20:00.733,9.7500,-1.0000,0.2600,1.7500,-0.8750,0.0000,-0.6778,0.1697,-0.7081,-0.1019,
