A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-06 20:43:32.395,9.6800,-0.3600,1.4000,-0.0625,0.3125,-0.3750,-0.6263,0.1813,-0.7359,-0.1828,
2025-03-06 20:43:32.406,9.6400,-0.3600,1.3900,0.5000,0.3125,-0.1250,-0.6263,0.1813,-0.7359,-0.1828,
2025-03-06 20:43:32.413,9.6500,-0.3600,1.4400,0.8750,0.1250,-0.0625,-0.6263,0.1813,-0.7359,-0.1828,
2025-03-06 20:43:32.423,9.7200,-0.3500,1.4700,0.3750,-0.0625,-0.1875,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.434,9.7600,-0.3900,1.5000,-0.2500,-0.0625,-0.1875,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.447,9.7800,-0.4000,1.4300,-0.4375,0.0625,-0.5000,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.453,9.7400,-0.4200,1.4100,-0.5000,0.2500,-0.3125,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.463,9.7300,-0.4400,1.3900,-0.1875,0.0625,-0.3125,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.478,9.7100,-0.4400,1.4400,0.0625,-0.2500,-0.1875,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.486,9.6900,-0.4000,1.4600,-0.0625,-0.4375,-0.1875,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.493,9.6900,-0.3900,1.4700,0.5000,-0.3750,-0.1250,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.523,9.6600,-0.3900,1.4700,0.9375,-0.3750,-0.1250,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.523,9.6600,-0.3600,1.4900,0.8750,-0.5000,-0.1250,-0.6263,0.1812,-0.7359,-0.1827,
2025-03-06 20:43:32.525,9.6500,-0.3900,1.4900,0.9375,-0.4375,-0.1875,-0.6263,0.1811,-0.7359,-0.1827,
2025-03-06 20:43:32.533,9.6500,-0.4100,1.4900,0.6875,-0.4375,-0.2500,-0.6263,0.1810,-0.7359,-0.1826,
2025-03-06 20:43:32.545,9.6800,-0.4100,1.4300,0.6875,-0.5000,-0.0625,-0.6263,0.1810,-0.7360,-0.1826,
2025-03-06 20:43:32.554,9.7200,-0.3800,1.4500,1.0000,-0.5000,0.1875,-0.6263,0.1810,-0.7360,-0.1826,
2025-03-06 20:43:32.564,9.7700,-0.3400,1.4700,1.4375,-0.5625,0.1875,-0.6263,0.1809,-0.7360,-0.1825,
2025-03-06 20:43:32.572,9.7700,-0.3400,1.4700,1.6250,-0.6250,0.2500,-0.6264,0.1808,-0.7360,-0.1824,
