A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-09 23:11:13.599,9.6800,1.5900,-0.1700,-3.1875,2.5000,-0.2500,0.7057,-0.1231,0.6609,0.2234,
2025-03-09 23:11:13.611,9.7500,1.3900,-0.2200,-3.4375,2.6250,-0.1875,0.7055,-0.1232,0.6611,0.2237,
2025-03-09 23:11:13.630,9.7700,1.2900,-0.2000,-1.1875,2.3750,0.3125,0.7051,-0.1235,0.6613,0.2241,
2025-03-09 23:11:13.670,9.7300,1.4000,-0.1700,0.3125,1.7500,0.6875,0.7048,-0.1235,0.6616,0.2242,
2025-03-09 23:11:13.670,9.7300,1.4200,-0.1400,0.8125,0.2500,1.4375,0.7048,-0.1235,0.6616,0.2241,
2025-03-09 23:11:13.680,9.7600,1.2000,-0.0800,0.1875,-0.1250,1.1875,0.7048,-0.1236,0.6617,0.2239,
2025-03-09 23:11:13.699,9.7100,1.1100,-0.0400,-0.1250,-0.8125,0.6875,0.7047,-0.1238,0.6619,0.2237,
2025-03-09 23:11:13.710,9.6100,1.0200,-0.0500,1.1250,-1.7500,0.5000,0.7048,-0.1238,0.6618,0.2236,
2025-03-09 23:11:13.729,9.6700,1.0400,-0.1100,5.8125,-3.6250,0.8125,0.7051,-0.1237,0.6616,0.2233,
2025-03-09 23:11:13.748,9.7000,1.0900,-0.1400,8.1875,-4.6875,0.8750,0.7057,-0.1234,0.6614,0.2221,
2025-03-09 23:11:13.760,9.9200,1.2100,-0.2400,9.5625,-6.6875,1.2500,0.7061,-0.1232,0.6613,0.2213,
2025-03-09 23:11:13.782,9.9500,1.2400,-0.3100,10.0625,-7.3750,1.6875,0.7071,-0.1228,0.6608,0.2196,
2025-03-09 23:11:13.801,9.6900,1.4100,-0.2300,10.7500,-7.3750,1.6875,0.7082,-0.1222,0.6603,0.2180,
2025-03-09 23:11:13.815,9.5800,1.5000,-0.3100,11.4375,-7.7500,1.7500,0.7089,-0.1218,0.6600,0.2171,
2025-03-09 23:11:13.830,9.5800,1.6000,-0.5300,11.0625,-7.0625,1.6250,0.7101,-0.1210,0.6594,0.2154,
2025-03-09 23:11:13.849,9.6600,1.5300,-0.7700,10.0000,-6.1875,1.8125,0.7112,-0.1202,0.6588,0.2138,
2025-03-09 23:11:13.852,9.8300,1.4400,-0.9500,6.8750,-5.8125,2.0625,0.7116,-0.1199,0.6586,0.2131,
2025-03-09 23:11:13.881,9.9000,1.3900,-1.0400,3.9375,-5.6250,2.5625,0.7124,-0.1197,0.6581,0.2120,
2025-03-09 23:11:13.898,9.8600,1.3200,-0.8500,2.8750,-5.9375,2.8750,0.7131,-0.1199,0.6576,0.2112,
2025-03-09 23:11:13.909,9.8500,1.2900,-0.8300,2.8750,-8.0000,3.2500,0.7136,-0.1201,0.6572,0.2108,
2025-03-09 23:11:13.929,9.9100,1.2700,-0.8300,4.7500,-8.0000,4.3125,0.7148,-0.1205,0.6562,0.2096,
2025-03-09 23:11:13.964,9.9300,1.1400,-0.8300,6.0625,-7.3125,5.0625,0.7160,-0.1210,0.6553,0.2081,
2025-03-09 23:11:13.973,9.8100,1.1300,-0.8500,10.1250,-6.2500,5.6875,0.7165,-0.1211,0.6550,0.2072,
2025-03-09 23:11:13.980,9.6400,1.3500,-1.1100,12.0000,-7.0625,6.6250,0.7179,-0.1210,0.6543,0.2048,
2025-03-09 23:11:13.997,9.8300,1.3800,-1.1000,11.0000,-7.0000,7.3750,0.7194,-0.1208,0.6534,0.2023,
2025-03-09 23:11:14.009,9.9500,1.2500,-0.9800,7.1875,-5.0000,8.8750,0.7199,-0.1212,0.6531,0.2013,
2025-03-09 23:11:14.028,9.8700,1.0100,-0.8100,3.7500,-2.8125,9.5625,0.7205,-0.1218,0.6529,0.1993,
2025-03-09 23:11:14.048,9.7400,0.9500,-0.6000,3.8750,-2.2500,9.5000,0.7208,-0.1226,0.6530,0.1977,
2025-03-09 23:11:14.060,9.7500,0.9700,-0.5400,12.5000,-2.7500,8.2500,0.7209,-0.1227,0.6531,0.1967,
2025-03-09 23:11:14.081,9.8400,1.1500,-0.6400,18.1250,-4.1875,7.3125,0.7216,-0.1223,0.6532,0.1940,
2025-03-09 23:11:14.096,9.8600,1.4300,-0.6700,19.3125,-4.0625,7.2500,0.7225,-0.1212,0.6533,0.1908,
2025-03-09 23:11:14.107,9.8400,1.6600,-0.7200,17.1875,-1.0625,6.5625,0.7229,-0.1207,0.6535,0.1893,
2025-03-09 23:11:14.136,9.8800,1.7400,-0.7700,12.6250,1.0625,5.8750,0.7233,-0.1197,0.6539,0.1866,
2025-03-09 23:11:14.148,9.9100,1.6800,-0.8800,10.5000,1.5625,5.3125,0.7234,-0.1190,0.6545,0.1846,
2025-03-09 23:11:14.161,9.8700,1.6700,-0.8500,8.0000,1.2500,4.8750,0.7235,-0.1189,0.6547,0.1838,
2025-03-09 23:11:14.172,9.7200,1.5100,-0.8100,3.1875,1.1250,3.3750,0.7236,-0.1182,0.6548,0.1835,
2025-03-09 23:11:14.192,9.6700,1.4000,-0.7500,0.1250,0.8750,2.2500,0.7236,-0.1180,0.6548,0.1836,
2025-03-09 23:11:14.210,9.7300,1.3600,-0.7600,-0.5625,0.3125,2.1875,0.7236,-0.1180,0.6548,0.1836,
2025-03-09 23:11:14.231,9.8500,1.2200,-0.7600,-2.5625,0.0625,2.4375,0.7235,-0.1184,0.6548,0.1837,
2025-03-09 23:11:14.252,9.8900,1.1400,-0.6600,-5.1250,0.1250,2.6875,0.7233,-0.1192,0.6547,0.1840,
2025-03-09 23:11:14.278,9.9200,1.1000,-0.5800,-6.0000,0.6875,2.6875,0.7232,-0.1197,0.6548,0.1843,
2025-03-09 23:11:14.280,9.9400,1.0500,-0.5600,-5.6250,0.5625,2.5625,0.7228,-0.1206,0.6549,0.1847,
2025-03-09 23:11:14.294,9.8500,1.1700,-0.6100,-4.0000,-0.2500,2.0625,0.7226,-0.1213,0.6549,0.1851,
2025-03-09 23:11:14.316,9.8200,1.1600,-0.6000,-2.8750,0.0000,2.0000,0.7225,-0.1216,0.6549,0.1851,
2025-03-09 23:11:14.327,9.5500,1.2300,-0.5200,-1.1250,-0.0625,2.0625,0.7224,-0.1220,0.6550,0.1852,
2025-03-09 23:11:14.347,9.4800,1.2900,-0.5500,-3.0625,-1.1250,2.2500,0.7224,-0.1225,0.6549,0.1852,
2025-03-09 23:11:14.360,9.5900,1.2300,-0.6500,-4.5625,-1.1875,2.1250,0.7223,-0.1229,0.6548,0.1854,
2025-03-09 23:11:14.380,9.8300,1.0300,-0.6800,-5.3750,-0.3125,2.2500,0.7221,-0.1238,0.6547,0.1858,
2025-03-09 23:11:14.393,9.8900,0.8200,-0.6200,-2.2500,-1.6250,3.0000,0.7220,-0.1246,0.6547,0.1859,
2025-03-09 23:11:14.404,9.8700,0.8400,-0.5600,-0.2500,-2.5000,3.0000,0.7222,-0.1248,0.6545,0.1857,
2025-03-09 23:11:14.427,9.7100,1.0300,-0.4500,1.6875,-3.8125,3.6875,0.7225,-0.1252,0.6542,0.1851,
2025-03-09 23:11:14.440,9.7200,1.0700,-0.4300,1.8750,-4.0000,3.7500,0.7227,-0.1253,0.6542,0.1847,
2025-03-09 23:11:14.447,9.7400,1.1400,-0.4900,1.6250,-4.5625,4.2500,0.7228,-0.1255,0.6540,0.1844,
2025-03-09 23:11:14.459,9.7800,0.9800,-0.4900,1.2500,-4.9375,4.2500,0.7230,-0.1258,0.6539,0.1840,
2025-03-09 23:11:14.470,9.8900,1.1100,-0.6800,1.0000,-5.0000,4.2500,0.7232,-0.1260,0.6537,0.1837,
2025-03-09 23:11:14.479,9.8900,1.0500,-0.6900,0.5000,-4.8750,4.6250,0.7234,-0.1264,0.6535,0.1834,
2025-03-09 23:11:14.489,9.8300,1.0700,-0.6400,0.6250,-4.3125,4.5000,0.7236,-0.1266,0.6534,0.1831,
2025-03-09 23:11:14.500,9.7300,1.1500,-0.5200,0.6875,-3.6875,4.5625,0.7237,-0.1269,0.6533,0.1829,
2025-03-09 23:11:14.514,9.6800,1.0700,-0.4900,0.0000,-2.9375,4.9375,0.7237,-0.1272,0.6533,0.1826,
2025-03-09 23:11:14.527,9.7400,0.9900,-0.5200,-1.0625,-1.7500,5.0000,0.7236,-0.1278,0.6533,0.1822,
2025-03-09 23:11:14.545,9.8400,0.8400,-0.6400,-1.0000,-2.3750,5.1250,0.7236,-0.1282,0.6533,0.1819,
2025-03-09 23:11:14.598,9.8700,0.7700,-0.7000,0.0000,-2.8125,5.6250,0.7237,-0.1286,0.6533,0.1816,
2025-03-09 23:11:14.598,9.8400,0.8200,-0.7000,1.5625,-3.0000,5.8125,0.7238,-0.1290,0.6532,0.1811,
2025-03-09 23:11:14.598,9.7800,0.8600,-0.6900,4.1875,-3.0625,5.9375,0.7240,-0.1292,0.6532,0.1805,
2025-03-09 23:11:14.602,9.6600,0.9000,-0.7000,6.3125,-2.9375,6.3750,0.7241,-0.1292,0.6532,0.1798,
2025-03-09 23:11:14.602,9.6400,0.9900,-0.7000,7.0625,-2.9375,6.8125,0.7243,-0.1293,0.6532,0.1790,
2025-03-09 23:11:14.602,9.6900,1.0400,-0.7300,6.0625,-3.1250,7.5625,0.7245,-0.1295,0.6532,0.1781,
2025-03-09 23:11:14.619,9.8800,1.1100,-0.7700,4.3125,-3.3750,7.8125,0.7246,-0.1297,0.6532,0.1774,
2025-03-09 23:11:14.621,9.8900,1.1100,-0.7800,2.3125,-3.1250,7.8125,0.7248,-0.1301,0.6531,0.1769,
2025-03-09 23:11:14.630,9.8900,1.1800,-0.8000,0.8125,-2.7500,7.3750,0.7249,-0.1304,0.6530,0.1765,
2025-03-09 23:11:14.636,9.8100,1.1300,-0.8100,-0.5625,-2.3125,7.0000,0.7249,-0.1308,0.6530,0.1761,
2025-03-09 23:11:14.644,9.7200,0.9700,-0.8900,-1.5000,-1.7500,6.5625,0.7249,-0.1312,0.6529,0.1760,
2025-03-09 23:11:14.654,9.7800,0.8700,-0.9200,-2.3125,-2.0000,6.3125,0.7249,-0.1318,0.6529,0.1757,
2025-03-09 23:11:14.670,9.8700,0.8400,-0.9200,-2.6875,-2.1250,6.1875,0.7249,-0.1323,0.6528,0.1755,
2025-03-09 23:11:14.680,9.9300,0.7500,-0.9000,-2.6875,-1.8125,6.1875,0.7249,-0.1329,0.6528,0.1754,
2025-03-09 23:11:14.689,9.9400,0.8000,-0.8100,-2.3125,-1.1250,5.6250,0.7249,-0.1334,0.6527,0.1752,
2025-03-09 23:11:14.691,9.9600,0.8000,-0.8300,-1.7500,-1.0000,5.8125,0.7248,-0.1338,0.6528,0.1749,
2025-03-09 23:11:14.701,9.9600,0.8000,-0.7900,-1.1875,-1.8750,5.8125,0.7249,-0.1343,0.6527,0.1747,
2025-03-09 23:11:14.719,9.9300,0.8400,-0.7900,-1.6875,-2.4375,6.1250,0.7249,-0.1348,0.6526,0.1744,
