A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-10 16:26:52.448,9.7800,-0.4200,0.4500,-1.2500,0.5625,0.1250,-0.6311,0.2774,-0.6702,-0.2748,
2025-03-10 16:26:52.458,9.8000,-0.4200,0.4000,-0.1875,0.0625,0.0625,-0.6311,0.2775,-0.6702,-0.2748,
2025-03-10 16:26:52.468,9.8000,-0.3300,0.4300,0.0625,0.0625,0.2500,-0.6311,0.2775,-0.6702,-0.2748,
2025-03-10 16:26:52.478,9.8100,-0.3200,0.4400,-0.3125,0.0000,0.1875,-0.6311,0.2776,-0.6702,-0.2748,
2025-03-10 16:26:52.487,9.8000,-0.3100,0.4400,-0.6875,-0.2500,-0.0625,-0.6311,0.2776,-0.6702,-0.2748,
2025-03-10 16:26:52.498,9.7900,-0.3000,0.4300,-0.7500,-0.5000,-0.0625,-0.6311,0.2777,-0.6702,-0.2748,
2025-03-10 16:26:52.508,9.8100,-0.3100,0.4100,-0.6250,-0.3125,-0.1875,-0.6310,0.2777,-0.6702,-0.2748,
2025-03-10 16:26:52.523,9.8200,-0.3600,0.4600,-0.9375,-0.1875,-0.3750,-0.6310,0.2778,-0.6701,-0.2749,
2025-03-10 16:26:52.533,9.8100,-0.4100,0.4100,-1.3750,0.3125,-0.5000,-0.6310,0.2778,-0.6701,-0.2749,
2025-03-10 16:26:52.540,9.8100,-0.4100,0.4100,-1.3125,0.7500,-0.6250,-0.6310,0.2779,-0.6701,-0.2750,
2025-03-10 16:26:52.548,9.8400,-0.3700,0.3300,-1.2500,0.6250,-0.3750,-0.6309,0.2780,-0.6701,-0.2750,
2025-03-10 16:26:52.561,9.8400,-0.3600,0.3300,-1.3750,0.9375,-0.5000,-0.6309,0.2780,-0.6701,-0.2751,
2025-03-10 16:26:52.574,9.8400,-0.3600,0.3700,-1.3750,1.5000,-0.5625,-0.6308,0.2781,-0.6701,-0.2752,
2025-03-10 16:26:52.578,9.8300,-0.2800,0.4500,-1.5625,1.7500,-0.5625,-0.6307,0.2782,-0.6701,-0.2753,
2025-03-10 16:26:52.589,9.8300,-0.2800,0.4500,-1.6875,1.1250,-0.5625,-0.6306,0.2783,-0.6702,-0.2754,
2025-03-10 16:26:52.598,9.8400,-0.2600,0.5600,-1.6875,1.1250,-0.5625,-0.6305,0.2783,-0.6702,-0.2755,
2025-03-10 16:26:52.617,9.8100,-0.2600,0.4400,-1.6250,1.0625,-0.5625,-0.6304,0.2784,-0.6702,-0.2756,
2025-03-10 16:26:52.618,9.7900,-0.3500,0.3800,-2.1875,1.5000,-0.7500,-0.6303,0.2785,-0.6702,-0.2757,
2025-03-10 16:26:52.629,9.8100,-0.3500,0.3600,-3.1250,0.1875,-0.5625,-0.6301,0.2785,-0.6702,-0.2759,
2025-03-10 16:26:52.667,9.8100,-0.3500,0.3600,-1.7500,-0.2500,-0.3750,-0.6301,0.2787,-0.6702,-0.2761,
2025-03-10 16:26:52.676,9.8300,-0.4700,0.5000,-0.3750,0.6250,-0.2500,-0.6301,0.2788,-0.6701,-0.2761,
2025-03-10 16:26:52.676,9.8100,-0.4500,0.5300,-0.3750,0.9375,-0.1250,-0.6300,0.2788,-0.6702,-0.2761,
2025-03-10 16:26:52.676,9.8000,-0.4000,0.4600,-0.3750,0.9375,-0.1250,-0.6300,0.2788,-0.6702,-0.2761,
2025-03-10 16:26:52.679,9.8400,-0.3800,0.4200,-4.3750,-1.1875,-0.4375,-0.6299,0.2789,-0.6703,-0.2761,
2025-03-10 16:26:52.696,9.8300,-0.4600,0.4600,-8.3750,1.0625,-1.7500,-0.6297,0.2796,-0.6699,-0.2767,
2025-03-10 16:26:52.706,9.7500,-0.5100,0.4200,-8.0625,1.4375,-1.5625,-0.6295,0.2800,-0.6697,-0.2772,
2025-03-10 16:26:52.718,9.8000,-0.4100,0.4100,-6.6250,0.8125,-0.8750,-0.6293,0.2804,-0.6695,-0.2777,
2025-03-10 16:26:52.736,9.8400,-0.3400,0.4500,-4.0000,0.3125,-0.4375,-0.6291,0.2808,-0.6694,-0.2781,
2025-03-10 16:26:52.748,9.8600,-0.3100,0.5200,-1.5000,0.0625,-0.4375,-0.6287,0.2815,-0.6691,-0.2788,
2025-03-10 16:26:52.769,9.8200,-0.3400,0.4900,-4.0625,1.0625,-0.8750,-0.6286,0.2817,-0.6690,-0.2791,
2025-03-10 16:26:52.779,9.7800,-0.3800,0.4900,-3.4375,0.5625,-1.0000,-0.6284,0.2820,-0.6688,-0.2796,
2025-03-10 16:26:52.789,9.7600,-0.3900,0.4700,-1.8750,-0.2500,-0.8125,-0.6284,0.2822,-0.6688,-0.2798,
