A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-08 19:17:17.971,9.5800,-1.1500,0.1500,-3.5000,1.6250,0.1250,-0.6491,0.2698,-0.6814,-0.2038,
2025-03-08 19:17:17.985,9.6200,-1.3000,0.1500,-3.2500,0.8125,0.1875,-0.6490,0.2700,-0.6814,-0.2040,
2025-03-08 19:17:17.996,9.6300,-1.3400,0.1400,-1.5625,0.1875,0.3750,-0.6490,0.2701,-0.6813,-0.2041,
2025-03-08 19:17:18.009,9.6400,-1.0900,0.1800,2.1875,-1.1875,0.5000,-0.6491,0.2700,-0.6813,-0.2039,
2025-03-08 19:17:18.025,9.6300,-1.0100,0.1500,3.0000,-1.1875,0.4375,-0.6492,0.2698,-0.6813,-0.2037,
2025-03-08 19:17:18.031,9.5900,-0.9700,0.1000,3.1250,-1.1250,0.3750,-0.6493,0.2697,-0.6813,-0.2035,
2025-03-08 19:17:18.064,9.5700,-1.0700,0.1200,2.0625,-0.9375,0.2500,-0.6494,0.2696,-0.6813,-0.2034,
2025-03-08 19:17:18.064,9.5800,-1.1300,0.1300,0.7500,-0.8750,0.0625,-0.6495,0.2695,-0.6813,-0.2033,
2025-03-08 19:17:18.064,9.5700,-1.2100,0.1300,0.5000,-0.8125,0.0000,-0.6495,0.2696,-0.6813,-0.2033,
2025-03-08 19:17:18.069,9.5800,-1.2800,0.1600,1.4375,-1.2500,-0.1250,-0.6496,0.2696,-0.6813,-0.2031,
2025-03-08 19:17:18.083,9.6700,-1.2100,0.1100,2.6250,-2.4375,-0.1875,-0.6497,0.2695,-0.6812,-0.2029,
2025-03-08 19:17:18.089,9.7500,-1.1900,0.1400,4.0000,-3.5000,-0.1875,-0.6500,0.2694,-0.6811,-0.2025,
2025-03-08 19:17:18.099,9.8200,-1.1100,0.1300,5.2500,-3.9375,-0.1250,-0.6503,0.2692,-0.6811,-0.2021,
2025-03-08 19:17:18.112,9.7700,-1.0700,0.1200,6.0625,-3.2500,0.0000,-0.6506,0.2689,-0.6810,-0.2017,
2025-03-08 19:17:18.117,9.7100,-1.0700,0.1100,6.5000,-2.3125,0.0000,-0.6508,0.2686,-0.6810,-0.2012,
2025-03-08 19:17:18.133,9.6500,-1.1000,0.1300,6.7500,-1.6250,0.0000,-0.6510,0.2682,-0.6811,-0.2009,
2025-03-08 19:17:18.147,9.5600,-1.1400,0.0800,7.5625,-2.1250,0.0625,-0.6513,0.2678,-0.6812,-0.2004,
2025-03-08 19:17:18.148,9.5200,-1.0700,0.0800,8.6250,-3.3125,0.1875,-0.6516,0.2674,-0.6812,-0.1998,
2025-03-08 19:17:18.157,9.5800,-0.9800,0.0300,9.1875,-3.8125,-0.0625,-0.6520,0.2669,-0.6812,-0.1992,
2025-03-08 19:17:18.171,9.6100,-0.9100,0.0000,9.0625,-3.8750,-0.1875,-0.6524,0.2665,-0.6812,-0.1986,
2025-03-08 19:17:18.179,9.6200,-0.8500,-0.0600,8.5625,-3.1875,-0.6875,-0.6527,0.2660,-0.6812,-0.1981,
2025-03-08 19:17:18.189,9.5200,-0.8700,-0.0400,7.7500,-2.3125,-1.0000,-0.6530,0.2655,-0.6812,-0.1977,
2025-03-08 19:17:18.197,9.5000,-0.9200,-0.0500,6.6250,-2.1875,-1.0000,-0.6532,0.2651,-0.6812,-0.1973,
2025-03-08 19:17:18.208,9.5300,-0.9900,-0.0500,5.8125,-2.6875,-0.6875,-0.6536,0.2648,-0.6811,-0.1970,
2025-03-08 19:17:18.220,9.6900,-1.0300,-0.0300,6.0625,-3.6250,-0.5625,-0.6539,0.2645,-0.6811,-0.1966,
2025-03-08 19:17:18.233,9.8000,-0.9400,-0.0700,6.8125,-4.3750,-0.5000,-0.6542,0.2642,-0.6810,-0.1961,
2025-03-08 19:17:18.240,9.9100,-0.8700,-0.0600,7.3750,-4.8750,-0.3750,-0.6547,0.2639,-0.6808,-0.1956,
2025-03-08 19:17:18.252,9.9900,-0.7200,-0.0900,7.8750,-4.8125,-0.2500,-0.6551,0.2634,-0.6807,-0.1951,
2025-03-08 19:17:18.261,9.9400,-0.6100,-0.1600,7.5625,-4.0625,0.0625,-0.6555,0.2631,-0.6807,-0.1945,
2025-03-08 19:17:18.272,9.8600,-0.6000,-0.1600,6.1250,-2.8125,0.2500,-0.6557,0.2628,-0.6807,-0.1942,
2025-03-08 19:17:18.280,9.7600,-0.6200,-0.1400,3.8125,-1.1875,0.6250,-0.6558,0.2626,-0.6807,-0.1938,
2025-03-08 19:17:18.364,9.6700,-0.7400,-0.0400,1.6875,-0.1250,0.8125,-0.6558,0.2626,-0.6807,-0.1937,
2025-03-08 19:17:18.364,9.7200,-0.7900,0.0000,0.3125,-0.1250,0.8125,-0.6558,0.2626,-0.6808,-0.1937,
2025-03-08 19:17:18.364,9.7800,-0.8700,-0.0100,-0.7500,-0.5000,0.8125,-0.6558,0.2626,-0.6807,-0.1937,
2025-03-08 19:17:18.364,9.8200,-0.9100,-0.0700,-1.6875,-0.7500,0.5625,-0.6559,0.2627,-0.6806,-0.1938,
2025-03-08 19:17:18.367,9.7700,-0.9500,-0.1400,-2.0625,-0.7500,0.1875,-0.6559,0.2628,-0.6805,-0.1940,
2025-03-08 19:17:18.367,9.6900,-1.0100,-0.1100,-1.6875,0.1875,-0.1875,-0.6559,0.2629,-0.6805,-0.1940,
2025-03-08 19:17:18.368,9.5900,-1.0500,-0.0400,-0.8750,0.6250,-0.0625,-0.6558,0.2630,-0.6805,-0.1941,
2025-03-08 19:17:18.368,9.5800,-1.0900,-0.0600,0.3750,0.7500,0.3750,-0.6558,0.2630,-0.6805,-0.1941,
2025-03-08 19:17:18.373,9.6500,-1.0500,-0.0500,1.5000,0.2500,0.7500,-0.6558,0.2629,-0.6805,-0.1940,
2025-03-08 19:17:18.383,9.7100,-1.0000,-0.1300,2.1875,-0.6875,1.2500,-0.6559,0.2629,-0.6805,-0.1938,
2025-03-08 19:17:18.388,9.7700,-0.8900,-0.1800,2.2500,-1.3125,1.5625,-0.6560,0.2629,-0.6805,-0.1935,
2025-03-08 19:17:18.397,9.8300,-0.6800,-0.2300,1.8125,-2.0000,1.9375,-0.6562,0.2629,-0.6804,-0.1933,
2025-03-08 19:17:18.407,9.7700,-0.6400,-0.2100,0.9375,-1.9375,1.8750,-0.6563,0.2630,-0.6804,-0.1931,
2025-03-08 19:17:18.421,9.6900,-0.6100,-0.1900,-0.1875,-1.0000,2.0625,-0.6562,0.2631,-0.6804,-0.1929,
