A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-08 20:48:10.165,9.5000,0.8700,0.9600,1.5000,0.7500,0.0000,-0.2059,-0.6548,0.1353,-0.7145,
2025-03-08 20:48:10.172,9.4900,0.8500,0.9300,1.2500,0.7500,-0.1250,-0.2059,-0.6548,0.1351,-0.7146,
2025-03-08 20:48:10.180,9.5000,0.8600,0.9400,0.8125,1.0000,-0.1875,-0.2059,-0.6547,0.1351,-0.7146,
2025-03-08 20:48:10.217,9.4900,0.8100,0.9200,0.3125,0.5625,-0.1875,-0.2059,-0.6547,0.1351,-0.7146,
2025-03-08 20:48:10.217,9.4500,0.8300,0.9500,-0.1250,0.3125,-0.3125,-0.2059,-0.6548,0.1350,-0.7146,
2025-03-08 20:48:10.217,9.3800,0.8400,0.9000,0.0625,0.1250,-0.5625,-0.2059,-0.6548,0.1350,-0.7146,
2025-03-08 20:48:10.223,9.3800,0.8500,0.8800,0.3750,0.0000,-0.4375,-0.2059,-0.6548,0.1350,-0.7146,
2025-03-08 20:48:10.239,9.3600,0.8000,0.8700,0.4375,0.1250,-0.5000,-0.2060,-0.6548,0.1349,-0.7145,
2025-03-08 20:48:10.241,9.3700,0.8000,0.8800,0.4375,0.0625,-0.5000,-0.2060,-0.6549,0.1350,-0.7145,
2025-03-08 20:48:10.250,9.4200,0.7800,0.8800,0.3125,0.0000,-0.2500,-0.2060,-0.6549,0.1349,-0.7145,
2025-03-08 20:48:10.261,9.4500,0.8100,0.8800,-0.0625,0.0000,-0.1250,-0.2060,-0.6549,0.1349,-0.7145,
2025-03-08 20:48:10.272,9.4900,0.8400,0.9000,-0.5000,0.1875,-0.3750,-0.2060,-0.6549,0.1350,-0.7144,
2025-03-08 20:48:10.283,9.4700,0.8300,0.9100,-0.6250,0.0000,-0.2500,-0.2061,-0.6550,0.1349,-0.7144,
2025-03-08 20:48:10.291,9.5000,0.8700,0.9200,-0.3125,-0.1250,-0.3750,-0.2061,-0.6550,0.1349,-0.7144,
2025-03-08 20:48:10.301,9.5000,0.8300,0.9400,0.0000,-0.4375,-0.1875,-0.2090,-0.6544,0.1376,-0.7135,
2025-03-08 20:48:10.312,9.4900,0.7900,0.9600,0.3750,-0.5625,-0.1875,-0.2090,-0.6544,0.1376,-0.7135,
2025-03-08 20:48:10.322,9.4800,0.8000,0.9600,0.5000,-0.4375,-0.3125,-0.2090,-0.6544,0.1376,-0.7135,
2025-03-08 20:48:10.329,9.4600,0.7800,0.9900,0.2500,-0.1875,-0.3125,-0.2090,-0.6544,0.1376,-0.7135,
2025-03-08 20:48:10.372,9.4400,0.8100,0.9600,0.1250,-0.1250,-0.3750,-0.2090,-0.6544,0.1376,-0.7135,
2025-03-08 20:48:10.376,9.3900,0.8300,0.9000,0.1875,-0.0625,-0.3125,-0.2092,-0.6544,0.1377,-0.7135,
2025-03-08 20:48:10.376,9.4300,0.8300,0.8900,0.3125,-0.0625,-0.4375,-0.2092,-0.6545,0.1377,-0.7134,
2025-03-08 20:48:10.376,9.3800,0.8300,0.8600,0.1250,-0.0625,-0.4375,-0.2092,-0.6545,0.1377,-0.7134,
2025-03-08 20:48:10.381,9.3800,0.8100,0.8600,0.2500,0.0000,-0.5000,-0.2092,-0.6545,0.1376,-0.7134,
2025-03-08 20:48:10.387,9.4000,0.7800,0.9000,0.3125,-0.2500,-0.1250,-0.2092,-0.6545,0.1376,-0.7134,
2025-03-08 20:48:10.398,9.4300,0.7900,0.8900,-0.0625,-0.1875,0.0000,-0.2106,-0.6543,0.1389,-0.7129,
2025-03-08 20:48:10.409,9.4200,0.7800,0.9100,-0.0625,-0.0625,0.2500,-0.2106,-0.6543,0.1389,-0.7129,
2025-03-08 20:48:10.419,9.4300,0.8000,0.8900,0.0000,-0.1875,0.5000,-0.2106,-0.6543,0.1389,-0.7129,
2025-03-08 20:48:10.428,9.4700,0.8400,0.9500,0.2500,0.0000,0.4375,-0.2106,-0.6543,0.1389,-0.7129,
2025-03-08 20:48:10.439,9.5000,0.8400,0.9000,0.6875,-0.1875,0.5000,-0.2105,-0.6544,0.1388,-0.7129,
2025-03-08 20:48:10.449,9.5100,0.8500,0.9400,0.8750,-0.1250,0.4375,-0.2110,-0.6543,0.1392,-0.7128,
2025-03-08 20:48:10.459,9.5100,0.8500,0.9300,0.6875,-0.1875,0.1875,-0.2110,-0.6543,0.1392,-0.7128,
2025-03-08 20:48:10.469,9.5200,0.8600,0.9400,0.5000,0.0000,0.2500,-0.2110,-0.6543,0.1392,-0.7127,
2025-03-08 20:48:10.485,9.5000,0.8400,0.9000,0.1250,0.1250,0.0000,-0.2110,-0.6544,0.1392,-0.7127,
2025-03-08 20:48:10.485,9.4900,0.8500,0.9000,0.0000,0.3750,0.0000,-0.2110,-0.6544,0.1391,-0.7127,
2025-03-08 20:48:10.501,9.4500,0.8100,0.9100,-0.1250,0.3125,-0.0625,-0.2111,-0.6544,0.1392,-0.7127,
2025-03-08 20:48:10.501,9.4400,0.8100,0.9200,0.0625,-0.0625,-0.1250,-0.2111,-0.6544,0.1391,-0.7127,
2025-03-08 20:48:10.511,9.4400,0.8000,0.9100,0.1250,-0.2500,-0.1875,-0.2111,-0.6544,0.1391,-0.7126,
2025-03-08 20:48:10.525,9.4700,0.7600,0.9100,0.0625,-0.1250,-0.2500,-0.2111,-0.6544,0.1391,-0.7126,
2025-03-08 20:48:10.533,9.4200,0.7700,0.9100,0.2500,-0.1250,0.0000,-0.2111,-0.6544,0.1391,-0.7126,
2025-03-08 20:48:10.562,9.4300,0.7700,0.9000,0.4375,-0.3125,0.1250,-0.2111,-0.6544,0.1392,-0.7126,
2025-03-08 20:48:10.562,9.4300,0.7900,0.9100,0.8750,-0.3125,0.3750,-0.2111,-0.6544,0.1391,-0.7126,
2025-03-08 20:48:10.562,9.4400,0.8500,0.8700,1.0000,-0.1875,0.3125,-0.2110,-0.6545,0.1390,-0.7126,
2025-03-08 20:48:10.572,9.4000,0.8600,0.9000,0.8125,-0.3125,0.3750,-0.2110,-0.6545,0.1390,-0.7126,
2025-03-08 20:48:10.585,9.4100,0.8600,0.8900,0.6250,-0.4375,0.1875,-0.2109,-0.6545,0.1389,-0.7126,
2025-03-08 20:48:10.597,9.4500,0.8500,0.9000,0.0625,-0.6250,0.1875,-0.2117,-0.6545,0.1395,-0.7123,
2025-03-08 20:48:10.603,9.4600,0.8100,0.8900,-0.2500,-0.5000,0.0000,-0.2117,-0.6545,0.1395,-0.7123,
2025-03-08 20:48:10.613,9.4500,0.8300,0.8600,-0.1250,-0.5625,0.0000,-0.2117,-0.6545,0.1395,-0.7123,
