A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-04 18:59:38.723,4.8300,-3.8700,7.6700,-1.5625,0.8750,1.1875,-0.1701,-0.2902,0.1244,0.9335,
2025-03-04 18:59:38.734,4.9100,-3.8700,7.6600,-1.4375,0.3125,1.1875,-0.1702,-0.2902,0.1244,0.9335,
2025-03-04 18:59:38.744,4.9200,-3.7400,7.6300,-1.4375,0.0625,0.9375,-0.1704,-0.2902,0.1245,0.9334,
2025-03-04 18:59:38.756,4.8500,-3.6800,7.6300,-1.6875,-0.1250,0.1875,-0.1705,-0.2902,0.1245,0.9334,
2025-03-04 18:59:38.814,4.6900,-3.7100,7.7000,-1.1250,-0.1875,-0.4375,-0.1707,-0.2901,0.1243,0.9334,
2025-03-04 18:59:38.814,4.6900,-3.7200,7.6800,-0.1875,-0.4375,-0.3750,-0.1706,-0.2900,0.1244,0.9334,
2025-03-04 18:59:38.814,4.7700,-3.7600,7.6000,-1.5625,-1.6875,0.1875,-0.1706,-0.2900,0.1244,0.9334,
2025-03-04 18:59:38.830,4.8200,-3.6900,7.5800,-3.0625,-1.8125,0.2500,-0.1709,-0.2903,0.1243,0.9333,
2025-03-04 18:59:38.832,4.8000,-3.6800,7.5900,-4.1875,-2.3125,0.1250,-0.1711,-0.2905,0.1242,0.9332,
2025-03-04 18:59:38.873,4.7100,-3.6900,7.6300,-5.0625,-2.8750,-0.3750,-0.1715,-0.2908,0.1241,0.9331,
2025-03-04 18:59:38.874,4.7000,-3.7100,7.6200,-5.0625,-3.2500,-0.9375,-0.1718,-0.2910,0.1240,0.9330,
2025-03-04 18:59:38.874,4.7500,-3.7900,7.5700,-4.1250,-3.0625,-1.5625,-0.1723,-0.2916,0.1237,0.9327,
2025-03-04 18:59:38.883,4.8600,-3.7900,7.4700,-3.8125,-2.8125,-1.6875,-0.1726,-0.2918,0.1235,0.9326,
2025-03-04 18:59:38.954,4.9300,-3.7400,7.4100,-3.6875,-2.9375,-1.7500,-0.1727,-0.2921,0.1232,0.9326,
2025-03-04 18:59:38.954,4.9700,-3.7000,7.4300,-3.8125,-3.3125,-1.9375,-0.1730,-0.2925,0.1230,0.9324,
2025-03-04 18:59:38.954,5.0900,-3.7800,7.5000,-3.4375,-4.1250,-1.7500,-0.1733,-0.2933,0.1227,0.9322,
2025-03-04 18:59:38.954,5.1200,-3.8900,7.4900,-2.8750,-4.5000,-1.5000,-0.1734,-0.2937,0.1226,0.9320,
2025-03-04 18:59:38.954,5.1400,-3.9800,7.4600,-2.6250,-4.8125,-1.0000,-0.1735,-0.2942,0.1224,0.9318,
2025-03-04 18:59:38.954,5.1900,-3.9800,7.4600,-2.8125,-4.8125,-0.5625,-0.1737,-0.2946,0.1224,0.9317,
2025-03-04 18:59:39.025,5.2900,-3.8100,7.5200,-2.8125,-4.3750,-0.1250,-0.1741,-0.2955,0.1224,0.9313,
2025-03-04 18:59:39.025,5.3300,-3.7600,7.5700,-3.0625,-3.6250,0.3125,-0.1742,-0.2960,0.1224,0.9312,
2025-03-04 18:59:39.025,5.2800,-3.7900,7.5700,-3.3125,-2.4375,0.9375,-0.1744,-0.2963,0.1223,0.9310,
2025-03-04 18:59:39.025,5.2500,-3.8500,7.5100,-4.0625,-1.5000,1.4375,-0.1747,-0.2965,0.1223,0.9309,
2025-03-04 18:59:39.025,5.2200,-3.9000,7.4000,-5.3125,-0.7500,2.1875,-0.1755,-0.2968,0.1224,0.9307,
2025-03-04 18:59:39.033,5.2000,-3.9400,7.3700,-5.6250,-0.5625,2.3125,-0.1760,-0.2969,0.1224,0.9305,
2025-03-04 18:59:39.095,5.2500,-4.0200,7.3300,-5.6875,-0.3750,2.4375,-0.1764,-0.2971,0.1224,0.9304,
2025-03-04 18:59:39.095,5.2600,-4.1100,7.3200,-5.9375,-0.2500,3.1250,-0.1771,-0.2971,0.1225,0.9302,
2025-03-04 18:59:39.095,5.4000,-4.1200,7.5000,-5.9375,-1.1250,3.4375,-0.1782,-0.2974,0.1227,0.9299,
2025-03-04 18:59:39.095,5.4800,-3.9700,7.4300,-5.7500,-2.2500,3.0625,-0.1787,-0.2978,0.1228,0.9297,
2025-03-04 18:59:39.095,5.2600,-3.9300,7.3400,-8.2500,-1.8125,2.4375,-0.1794,-0.2981,0.1228,0.9295,
2025-03-04 18:59:39.105,5.1400,-4.0000,7.3900,-12.0000,-0.8750,3.6250,-0.1804,-0.2983,0.1227,0.9292,
2025-03-04 18:59:39.122,5.1700,-4.3200,7.2800,-13.6875,0.4375,6.6875,-0.1829,-0.2986,0.1230,0.9286,
2025-03-04 18:59:39.174,5.1800,-4.3800,7.2200,-12.4375,1.0000,7.1250,-0.1841,-0.2985,0.1232,0.9283,
2025-03-04 18:59:39.174,5.1600,-4.3400,7.2100,-10.6875,0.7500,7.8750,-0.1851,-0.2984,0.1236,0.9281,
2025-03-04 18:59:39.174,5.0300,-4.1100,7.6100,-5.5000,-2.1250,8.4375,-0.1869,-0.2985,0.1245,0.9276,
2025-03-04 18:59:39.184,4.9900,-4.1300,7.7200,-3.6250,-1.3750,9.2500,-0.1880,-0.2986,0.1257,0.9272,
2025-03-04 18:59:39.245,4.9200,-4.2000,7.6400,-4.1250,1.8750,11.7500,-0.1885,-0.2985,0.1264,0.9270,
2025-03-04 18:59:39.245,4.8400,-4.1900,7.5900,-5.3125,3.5625,12.4375,-0.1899,-0.2978,0.1280,0.9267,
