A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-06 20:37:43.885,9.8200,0.6200,0.8500,1.3125,0.0625,0.3125,-0.6332,0.2205,-0.6847,-0.2857,
2025-03-06 20:37:43.885,9.8000,0.6000,0.8400,0.5000,0.0000,0.1250,-0.6332,0.2205,-0.6847,-0.2857,
2025-03-06 20:37:43.890,9.8100,0.6200,0.9300,-0.5625,-0.2500,0.0625,-0.6332,0.2205,-0.6847,-0.2857,
2025-03-06 20:37:43.927,9.8000,0.5500,1.0100,-2.1250,-0.1250,-0.3750,-0.6332,0.2205,-0.6847,-0.2857,
2025-03-06 20:37:43.927,9.8000,0.5100,1.0300,-3.1250,0.0625,-0.6875,-0.6332,0.2206,-0.6846,-0.2858,
2025-03-06 20:37:43.929,9.7800,0.4600,1.0000,-3.4375,0.5000,-0.7500,-0.6330,0.2209,-0.6845,-0.2862,
2025-03-06 20:37:43.932,9.7800,0.3900,0.9700,-3.3750,0.4375,-1.0000,-0.6330,0.2210,-0.6844,-0.2865,
2025-03-06 20:37:43.933,9.7800,0.3600,1.0400,-2.8750,0.1250,-1.1875,-0.6329,0.2211,-0.6843,-0.2867,
2025-03-06 20:37:43.943,9.7700,0.3600,1.0500,-2.4375,-0.2500,-1.2500,-0.6329,0.2211,-0.6843,-0.2867,
2025-03-06 20:37:43.957,9.7700,0.3500,1.0700,-1.8750,-0.1250,-1.3750,-0.6329,0.2212,-0.6843,-0.2869,
2025-03-06 20:37:43.968,9.7700,0.3300,1.1200,-1.4375,-0.2500,-1.3750,-0.6328,0.2213,-0.6841,-0.2872,
2025-03-06 20:37:43.974,9.7200,0.3400,1.0900,-1.1250,-0.1875,-1.3125,-0.6328,0.2214,-0.6842,-0.2873,
2025-03-06 20:37:43.982,9.6900,0.3600,1.0700,-0.8125,0.1250,-1.1875,-0.6327,0.2214,-0.6842,-0.2873,
2025-03-06 20:37:43.992,9.6500,0.4100,1.0400,-0.1875,-0.1875,-0.8750,-0.6326,0.2214,-0.6842,-0.2874,
2025-03-06 20:37:44.003,9.6900,0.4500,1.0200,0.5000,-0.3750,-0.6250,-0.6326,0.2214,-0.6842,-0.2874,
2025-03-06 20:37:44.017,9.6700,0.4700,1.0200,1.1875,-0.5000,-0.5000,-0.6326,0.2214,-0.6843,-0.2873,
2025-03-06 20:37:44.023,9.6700,0.4300,1.0600,1.7500,-0.4375,-0.4375,-0.6326,0.2214,-0.6843,-0.2873,
2025-03-06 20:37:44.032,9.7300,0.3900,1.0300,2.0625,-0.1875,-0.1875,-0.6327,0.2213,-0.6843,-0.2872,
2025-03-06 20:37:44.042,9.7600,0.3600,1.0200,2.2500,0.3125,-0.1875,-0.6327,0.2212,-0.6844,-0.2870,
2025-03-06 20:37:44.053,9.7600,0.3800,1.0100,2.6875,0.1875,-0.3750,-0.6327,0.2211,-0.6845,-0.2869,
