A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-09 22:53:26.533,9.7500,0.7500,-0.2900,0.2500,3.3750,-0.3750,0.4313,-0.5800,0.3727,0.5819,
2025-03-09 22:53:26.546,9.8000,0.7100,-0.2800,0.4375,3.5625,-1.1875,0.4313,-0.5798,0.3729,0.5821,
2025-03-09 22:53:26.586,9.8200,0.7400,-0.2400,0.8750,3.6875,-0.9375,0.4312,-0.5796,0.3729,0.5823,
2025-03-09 22:53:26.586,9.7600,0.7100,-0.2300,1.1875,3.6875,-0.8750,0.4312,-0.5793,0.3731,0.5825,
2025-03-09 22:53:26.586,9.7800,0.6600,-0.2300,1.1250,3.5000,0.0000,0.4311,-0.5790,0.3732,0.5827,
2025-03-09 22:53:26.586,9.6400,0.7100,-0.1900,0.4375,3.2500,0.0625,0.4310,-0.5788,0.3734,0.5829,
2025-03-09 22:53:26.595,9.6700,0.7200,-0.2400,-0.2500,2.7500,-0.7500,0.4309,-0.5786,0.3735,0.5831,
2025-03-09 22:53:26.606,9.6000,0.7300,-0.1900,-1.0625,1.8125,-0.5000,0.4309,-0.5784,0.3737,0.5833,
2025-03-09 22:53:26.612,9.7200,0.6700,-0.2700,-0.6250,0.6875,0.4375,0.4307,-0.5783,0.3737,0.5834,
2025-03-09 22:53:26.623,9.8000,0.6500,-0.3000,0.1250,0.1250,0.6250,0.4307,-0.5782,0.3737,0.5836,
2025-03-09 22:53:26.635,9.8600,0.6800,-0.3300,0.3750,0.6250,-0.1250,0.4306,-0.5783,0.3737,0.5835,
2025-03-09 22:53:26.642,9.8500,0.6800,-0.3300,0.3125,1.4375,-0.6875,0.4306,-0.5782,0.3737,0.5836,
2025-03-09 22:53:26.656,9.7400,0.7800,-0.1600,0.0625,1.6875,-1.3125,0.4306,-0.5781,0.3738,0.5837,
2025-03-09 22:53:26.665,9.7200,0.8000,-0.2000,0.8125,1.1250,-0.8750,0.4306,-0.5780,0.3738,0.5838,
2025-03-09 22:53:26.677,9.7700,0.8000,-0.2400,1.6250,0.5000,-0.1875,0.4306,-0.5778,0.3738,0.5839,
