A1,,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4,
2025-03-10 20:04:44.440,9.7800,0.5700,1.1300,-0.5000,0.0000,-0.0625,-0.3703,-0.5536,-0.4470,0.5972,
2025-03-10 20:04:44.480,9.7700,0.6100,1.1300,0.7500,0.1250,0.0625,-0.3703,-0.5536,-0.4470,0.5972,
2025-03-10 20:04:44.482,9.7200,0.6600,1.1300,1.1250,0.1250,0.1875,-0.3702,-0.5537,-0.4469,0.5972,
2025-03-10 20:04:44.488,9.7300,0.6800,1.1200,0.7500,0.0625,-0.0625,-0.3701,-0.5537,-0.4469,0.5972,
2025-03-10 20:04:44.509,9.7100,0.6400,1.0400,0.0000,0.1250,-0.0625,-0.3700,-0.5538,-0.4469,0.5972,
2025-03-10 20:04:44.542,9.7600,0.6100,1.0600,-0.5625,0.0625,0.1250,-0.3700,-0.5538,-0.4469,0.5972,
2025-03-10 20:04:44.542,9.7600,0.6100,1.1000,-0.4375,0.2500,0.2500,-0.3700,-0.5538,-0.4469,0.5972,
2025-03-10 20:04:44.558,9.7800,0.6600,1.1000,0.9375,0.0625,0.5625,-0.3700,-0.5538,-0.4470,0.5972,
2025-03-10 20:04:44.589,9.7800,0.6700,1.1600,1.5000,0.3125,0.4375,-0.3698,-0.5540,-0.4468,0.5972,
2025-03-10 20:04:44.589,9.7200,0.6600,1.1100,0.8125,0.3750,0.2500,-0.3697,-0.5540,-0.4468,0.5973,
2025-03-10 20:04:44.611,9.7400,0.6700,1.0600,0.1875,-0.0625,0.3125,-0.3696,-0.5541,-0.4468,0.5973,
2025-03-10 20:04:44.635,9.7200,0.6400,1.0300,0.1875,0.0625,0.3125,-0.3696,-0.5541,-0.4468,0.5972,
2025-03-10 20:04:44.639,9.7600,0.6300,1.0700,-0.5625,0.0000,0.7500,-0.3696,-0.5541,-0.4468,0.5972,
2025-03-10 20:04:44.658,9.7300,0.6300,1.1400,0.0000,0.1250,0.7500,-0.3697,-0.5541,-0.4468,0.5972,
2025-03-10 20:04:44.677,9.7400,0.6200,1.1400,0.0625,-0.0625,0.5625,-0.3697,-0.5541,-0.4468,0.5973,
2025-03-10 20:04:44.692,9.7300,0.6000,1.1000,0.0625,-0.0625,0.6250,-0.3696,-0.5541,-0.4468,0.5973,
2025-03-10 20:04:44.708,9.7300,0.6200,1.1100,0.5000,-0.0625,0.6250,-0.3697,-0.5541,-0.4468,0.5973,
2025-03-10 20:04:44.732,9.7400,0.6400,1.0900,0.5000,-0.2500,0.5625,-0.3697,-0.5541,-0.4468,0.5973,
2025-03-10 20:04:44.749,9.7300,0.7000,1.1200,0.4375,-0.1250,0.3750,-0.3696,-0.5541,-0.4468,0.5973,
2025-03-10 20:04:44.791,9.7700,0.6700,1.1600,0.1250,0.0625,0.4375,-0.3696,-0.5541,-0.4468,0.5972,
2025-03-10 20:04:44.791,9.7600,0.6300,1.1500,0.0000,0.1250,0.3125,-0.3695,-0.5541,-0.4469,0.5972,
2025-03-10 20:04:44.809,9.7800,0.6200,1.0400,0.3125,-0.1250,0.5625,-0.3695,-0.5542,-0.4469,0.5972,
2025-03-10 20:04:44.829,9.7500,0.6600,1.1200,0.0625,0.1875,0.4375,-0.3695,-0.5542,-0.4469,0.5972,
2025-03-10 20:04:44.840,9.7000,0.6600,1.1300,0.0000,0.0625,0.8125,-0.3695,-0.5542,-0.4469,0.5972,
2025-03-10 20:04:44.859,9.6900,0.6700,1.0900,-0.3750,0.1250,0.4375,-0.3695,-0.5542,-0.4469,0.5972,
2025-03-10 20:04:44.897,9.7200,0.6300,1.1100,-0.6250,0.0000,0.4375,-0.3695,-0.5541,-0.4470,0.5972,
2025-03-10 20:04:44.897,9.7300,0.6200,1.1200,-0.5000,-0.1875,0.4375,-0.3695,-0.5542,-0.4469,0.5972,
2025-03-10 20:04:44.910,9.7400,0.5500,1.0400,-0.5000,0.1875,0.6250,-0.3695,-0.5542,-0.4469,0.5972,
2025-03-10 20:04:44.929,9.7500,0.6000,1.0700,0.0625,-0.1250,0.8750,-0.3696,-0.5541,-0.4469,0.5972,
2025-03-10 20:04:44.939,9.7700,0.6400,1.1100,0.4375,-0.3125,0.8125,-0.3696,-0.5541,-0.4468,0.5972,
2025-03-10 20:04:44.961,9.7500,0.6100,1.0700,0.1250,-0.1875,0.6250,-0.3696,-0.5541,-0.4468,0.5973,
2025-03-10 20:04:44.976,9.7600,0.5800,1.0900,0.1875,-0.1875,0.6875,-0.3697,-0.5541,-0.4467,0.5973,
2025-03-10 20:04:44.992,9.7500,0.5600,1.0600,0.0000,-0.3750,0.6875,-0.3697,-0.5541,-0.4467,0.5973,
2025-03-10 20:04:45.010,9.7300,0.6100,1.1000,0.3750,-0.2500,0.8125,-0.3697,-0.5540,-0.4466,0.5974,
2025-03-10 20:04:45.030,9.7600,0.7000,1.1500,1.1250,-0.5625,1.0000,-0.3697,-0.5541,-0.4465,0.5975,
2025-03-10 20:04:45.041,9.7600,0.7000,1.1100,1.1250,-0.4375,0.8750,-0.3697,-0.5541,-0.4464,0.5975,
2025-03-10 20:04:45.060,9.7500,0.6100,1.0500,-0.2500,-0.1250,0.7500,-0.3697,-0.5541,-0.4463,0.5976,
2025-03-10 20:04:45.081,9.7300,0.6000,1.1000,-0.3125,0.3125,0.8750,-0.3698,-0.5540,-0.4463,0.5976,
2025-03-10 20:04:45.087,9.7500,0.6100,1.0900,0.0000,0.1250,0.8750,-0.3698,-0.5540,-0.4463,0.5977,
2025-03-10 20:04:45.108,9.7400,0.6100,1.0600,-0.1875,0.2500,0.8125,-0.3699,-0.5539,-0.4462,0.5977,
